variable,key
StartDate,Start Date
EndDate,End Date
Status,Response Type
IPAddress,IP Address
Progress,Progress
Duration (in seconds),Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
RecipientLastName,Recipient Last Name
RecipientFirstName,Recipient First Name
RecipientEmail,Recipient Email
ExternalReference,External Data Reference
LocationLatitude,Location Latitude
LocationLongitude,Location Longitude
DistributionChannel,Distribution Channel
UserLanguage,User Language
age,Are you 18 years old or older?
consent,Do you consent to participate in this study?
metadata_Browser,Browser Meta Info - Browser
metadata_Version,Browser Meta Info - Version
metadata_Operating System,Browser Meta Info - Operating System
metadata_Resolution,Browser Meta Info - Resolution
consentTime_First Click,Timing - First Click
consentTime_Last Click,Timing - Last Click
consentTime_Page Submit,Timing - Page Submit
consentTime_Click Count,Timing - Click Count
id,What is your Amazon Mechanical Turk ID (so we may compensate you for completing this survey)?
idTime_First Click,Timing - First Click
idTime_Last Click,Timing - Last Click
idTime_Page Submit,Timing - Page Submit
idTime_Click Count,Timing - Click Count
p1agree,"A proposal to ban the exchange of cryptocurrencies such as Bitcoin, Ethereum, or Litecoin in the United States.

 

Do you agree or disagree with this proposal?"
p1time_First Click,Timing - First Click
p1time_Last Click,Timing - Last Click
p1time_Page Submit,Timing - Page Submit
p1time_Click Count,Timing - Click Count
p2agree,"A proposal for mandatory minimum prison sentences for those convicted of  identity theft (""phishing"") .


Do you agree or disagree with this proposal?"
p2time_First Click,Timing - First Click
p2time_Last Click,Timing - Last Click
p2time_Page Submit,Timing - Page Submit
p2time_Click Count,Timing - Click Count
p3agree,"A proposal to use artificial intelligence software to detect online blackmailing on email platforms.

 



Do you agree or disagree with this proposal?"
p3time_First Click,Timing - First Click
p3time_Last Click,Timing - Last Click
p3time_Page Submit,Timing - Page Submit
p3time_Click Count,Timing - Click Count
p4agree,"A proposal to ban subliminal advertising from television, movies, and web videos.


Do you agree or disagree with this proposal?"
p4time_First Click,Timing - First Click
p4time_Last Click,Timing - Last Click
p4time_Page Submit,Timing - Page Submit
p4time_Click Count,Timing - Click Count
p5agree,A proposal to ban the storage of an individual's genetic information collected through bio-ident
p5time_First Click,Timing - First Click
p5time_Last Click,Timing - Last Click
p5time_Page Submit,Timing - Page Submit
p5time_Click Count,Timing - Click Count
p6agree,"A proposal to require self-driving car manufacturers to program their products to make life-or-death decisions that minimize total harm or death, even if that means sacrificing the driver’s own safety.


Do you agree or disagree with this proposal?"
p6time_First Click,Timing - First Click
p6time_Last Click,Timing - Last Click
p6time_Page Submit,Timing - Page Submit
p6time_Click Count,Timing - Click Count
p7agree,"A proposal to require employers to provide half pay with full benefits for two years for current and future workers displaced by robots, androids, or artificial intelligence.


Do you agree or disagree with this proposal?"
p7time_First Click,Timing - First Click
p7time_Last Click,Timing - Last Click
p7time_Page Submit,Timing - Page Submit
p7time_Click Count,Timing - Click Count
p8agree,"A proposal to permit genetic editing of fetuses to prevent debilitating or fatal diseases.


Do you agree or disagree with this proposal?"
p8time_First Click,Timing - First Click
p8time_Last Click,Timing - Last Click
p8time_Page Submit,Timing - Page Submit
p8time_Click Count,Timing - Click Count
p9agree,"A proposal for an independent non-partisan commission to assess the reliability of print, online, and broadcast news sources.


Do you agree or disagree with this proposal?"
p9time_First Click,Timing - First Click
p9time_Last Click,Timing - Last Click
p9time_Page Submit,Timing - Page Submit
p9time_Click Count,Timing - Click Count
p10agree,"A proposal to remove the penny from circulation. 

 

Do you agree or disagree with this proposal?"
p10time_First Click,Timing - First Click
p10time_Last Click,Timing - Last Click
p10time_Page Submit,Timing - Page Submit
p10time_Click Count,Timing - Click Count
p11agree,"A proposal to exempt U.S. citizens from paying U.S. income tax for any foreign income they earn while living abroad.


Do you agree or disagree with this proposal?"
p11time_First Click,Timing - First Click
p11time_Last Click,Timing - Last Click
p11time_Page Submit,Timing - Page Submit
p11time_Click Count,Timing - Click Count
p12agree,"A proposal to tax companies in the countries where they are headquartered rather than in the countries where their revenues are generated. 

 

Do you agree or disagree with this proposal?"
p12time_First Click,Timing - First Click
p12time_Last Click,Timing - Last Click
p12time_Page Submit,Timing - Page Submit
p12time_Click Count,Timing - Click Count
p13agree,"A proposal to restrict the U.S. federal government from the use of tax revenue to save corporations from failing unless those companies have first declared bankruptcy.

 

Do you agree or disagree with this proposal?"
p13time_First Click,Timing - First Click
p13time_Last Click,Timing - Last Click
p13time_Page Submit,Timing - Page Submit
p13time_Click Count,Timing - Click Count
p14agree,"A proposal to permit universities to offer salaries to college athletes.


Do you agree or disagree with this proposal?"
p14time_First Click,Timing - First Click
p14time_Last Click,Timing - Last Click
p14time_Page Submit,Timing - Page Submit
p14time_Click Count,Timing - Click Count
p15agree,"A proposal to impose $100 fines for drivers who drive below the speed limit in the passing lane on divided highways.

 

Do you agree or disagree with this proposal?"
p15time_First Click,Timing - First Click
p15time_Last Click,Timing - Last Click
p15time_Page Submit,Timing - Page Submit
p15time_Click Count,Timing - Click Count
p16agree,"A proposal to eliminate Federal subsidies of agricultural products.


Do you agree or disagree with this proposal?"
p16time_First Click,Timing - First Click
p16time_Last Click,Timing - Last Click
p16time_Page Submit,Timing - Page Submit
p16time_Click Count,Timing - Click Count
p17agree,"A proposal to replace the current lottery based juror system with full-time licensed professional jurors.


Do you agree or disagree with this proposal?"
p17time_First Click,Timing - First Click
p17time_Last Click,Timing - Last Click
p17time_Page Submit,Timing - Page Submit
p17time_Click Count,Timing - Click Count
p18agree,"A proposal to develop artificial intelligence programs to serve as public defenders for those who cannot afford a human attorney.

 

Do you agree or disagree with this proposal?"
p18time_First Click,Timing - First Click
p18time_Last Click,Timing - Last Click
p18time_Page Submit,Timing - Page Submit
p18time_Click Count,Timing - Click Count
p19agree,"A proposal to permit the development of genetically-engineered animals with organs that are suitable for animal-to-human organ donation.


Do you agree or disagree with this proposal?"
p19time_First Click,Timing - First Click
p19time_Last Click,Timing - Last Click
p19time_Page Submit,Timing - Page Submit
p19time_Click Count,Timing - Click Count
p20agree,"A proposal to authorize the Federal Aviation Administration (FAA) to develop safety requirements for commercial space travel. 



Do you agree or disagree with this proposal?"
p20time_First Click,Timing - First Click
p20time_Last Click,Timing - Last Click
p20time_Page Submit,Timing - Page Submit
p20time_Click Count,Timing - Click Count
p21agree,"A proposal to require social media websites in the U.S. to obtain informed consent from anyone who serves as a participant in an experiment on their platform, whether for basic scientific research or product improvement. 



Do you agree or disagree with this proposal?"
p21time_First Click,Timing - First Click
p21time_Last Click,Timing - Last Click
p21time_Page Submit,Timing - Page Submit
p21time_Click Count,Timing - Click Count
p22agree,"A proposal for government-funded job retraining programs to provide computer programming skills for workers displaced by automation.



Do you agree or disagree with this proposal?"
p22time_First Click,Timing - First Click
p22time_Last Click,Timing - Last Click
p22time_Page Submit,Timing - Page Submit
p22time_Click Count,Timing - Click Count
p23agree,"A proposal to require lab-grown meat to be explicitly labeled.



Do you agree or disagree with this proposal?"
p23time_First Click,Timing - First Click
p23time_Last Click,Timing - Last Click
p23time_Page Submit,Timing - Page Submit
p23time_Click Count,Timing - Click Count
p24agree,"A proposal to prohibit telecommunications companies from selling user location data to third parties. 

 

Do you agree or disagree with this proposal?"
p24time_First Click,Timing - First Click
p24time_Last Click,Timing - Last Click
p24time_Page Submit,Timing - Page Submit
p24time_Click Count,Timing - Click Count
p25agree,"A proposal to restrict smart home devices (e.g. Amazon Echo, Google Home) from storing data obtained from conversations while passively listening for a command.

 

Do you agree or disagree with this proposal?"
p25time_First Click,Timing - First Click
p25time_Last Click,Timing - Last Click
p25time_Page Submit,Timing - Page Submit
p25time_Click Count,Timing - Click Count
p26agree,"A proposal to permit gene editing of invasive or disease-carrying species (e.g. mosquitoes) to limit their reproduction.


Do you agree or disagree with this proposal?"
p26time_First Click,Timing - First Click
p26time_Last Click,Timing - Last Click
p26time_Page Submit,Timing - Page Submit
p26time_Click Count,Timing - Click Count
p27agree,"A proposal to raise the minimum retirement age to reflect the increase in average life expectancy in the U.S.

 

Do you agree or disagree with this proposal?"
p27time_First Click,Timing - First Click
p27time_Last Click,Timing - Last Click
p27time_Page Submit,Timing - Page Submit
p27time_Click Count,Timing - Click Count
p28agree,"A proposal to require every able-bodied U.S. citizen to spend one year in paid ""National Service"" following high school graduation or be exempted if employed in comparable occupations (e.g. teaching preschool in disadvantaged neighborhoods).


Do you agree or disagree with this proposal?"
p28time_First Click,Timing - First Click
p28time_Last Click,Timing - Last Click
p28time_Page Submit,Timing - Page Submit
p28time_Click Count,Timing - Click Count
p29agree,"A proposal to prohibit genetic research intended to bring back extinct animals (e.g. mammoths, dinosaurs, dodo birds, black rhinos).



Do you agree or disagree with this proposal?"
p29time_First Click,Timing - First Click
p29time_Last Click,Timing - Last Click
p29time_Page Submit,Timing - Page Submit
p29time_Click Count,Timing - Click Count
p31agree,"A proposal to make the Super Bowl a national holiday.


Do you agree or disagree with this proposal?"
p31time_First Click,Timing - First Click
p31time_Last Click,Timing - Last Click
p31time_Page Submit,Timing - Page Submit
p31time_Click Count,Timing - Click Count
p32agree,"A proposal to require laptop manufacturers to install privacy-protecting manual lens covers over the cameras.



Do you agree or disagree with this proposal?"
p32time_First Click,Timing - First Click
p32time_Last Click,Timing - Last Click
p32time_Page Submit,Timing - Page Submit
p32time_Click Count,Timing - Click Count
p33agree,"A proposal to provide federal energy subsidies for hydrogen-powered technology.


Do you agree or disagree with this proposal?"
p33time_First Click,Timing - First Click
p33time_Last Click,Timing - Last Click
